País,Total,Aérea,Marítima,Região,Continente,Ano
   África do Sul,3545,3012,533,África,África,2006
   Angola,21662,21606,56,África,África,2006
   Cabo Verde,2407,2407,0,África,África,2006
   Nigéria,238,233,5,África,África,2006
Outros,1900,1783,117,África,África,2006
   Costa Rica,613,600,13,América Central,América,2006
   Panamá,314,293,21,América Central,América,2006
   Porto Rico,345,290,55,América Central,América,2006
Outros,3191,2363,828,América Central,América,2006
   Canadá,15305,13828,1477,América do Norte,América,2006
   Estados Unidos,168656,157880,10776,América do Norte,América,2006
   México,14270,13972,298,América do Norte,América,2006
   Argentina,89064,88248,816,América do Sul,América,2006
   Bolívia,562,557,5,América do Sul,América,2006
   Chile,16240,16005,235,América do Sul,América,2006
   Colômbia,3207,3163,44,América do Sul,América,2006
   Equador,1597,1588,9,América do Sul,América,2006
   Guiana Francesa,13,0,13,América do Sul,América,2006
   Paraguai,977,960,17,América do Sul,América,2006
   Peru,3072,2956,116,América do Sul,América,2006
   República da Guiana,2,2,0,América do Sul,América,2006
   Suriname,2,2,0,América do Sul,América,2006
   Uruguai,5469,5035,434,América do Sul,América,2006
   Venezuela,3909,3871,38,América do Sul,América,2006
   China,6886,6833,53,Ásia,Ásia,2006
   Japão,4586,4425,161,Ásia,Ásia,2006
   República da Coréia,2281,2106,175,Ásia,Ásia,2006
Outros,7647,4761,2886,Ásia,Ásia,2006
   Alemanha,53689,51520,2169,Europa,Europa,2006
   Áustria,3142,2839,303,Europa,Europa,2006
   Bélgica,8199,8070,129,Europa,Europa,2006
   Dinamarca,6660,6360,300,Europa,Europa,2006
   Espanha,31736,31241,495,Europa,Europa,2006
   Finlândia,4286,4272,14,Europa,Europa,2006
   França,82910,82249,661,Europa,Europa,2006
   Grécia,4710,3645,1065,Europa,Europa,2006
   Holanda,9453,9054,399,Europa,Europa,2006
   Hungria,1232,1223,9,Europa,Europa,2006
   Inglaterra,50095,46158,3937,Europa,Europa,2006
   Irlanda,2160,2106,54,Europa,Europa,2006
   Itália,42013,40954,1059,Europa,Europa,2006
   Noruega,6300,5815,485,Europa,Europa,2006
   Polônia,2019,1881,138,Europa,Europa,2006
   Portugal,56606,56400,206,Europa,Europa,2006
   Suécia,5474,5302,172,Europa,Europa,2006
   Suíça,12294,11812,482,Europa,Europa,2006
Outros,16991,13053,3938,Europa,Europa,2006
   Austrália,6833,6380,453,Oceania,Oceania,2006
   Nova Zelândia,1448,1327,121,Oceania,Oceania,2006
   Arábia Saudita,81,81,0,Oriente Médio,Ásia,2006
   Iraque,18,13,5,Oriente Médio,Ásia,2006
   Israel,6227,6142,85,Oriente Médio,Ásia,2006
Outros,1344,1158,186,Oriente Médio,Ásia,2006
Países não especificados,229,84,145,Desconhecido,Ásia,2006
África do Sul,1422,979,443,África,África,2007
Angola,18882,18834,48,África,África,2007
Cabo Verde,158,158,0,África,África,2007
Nigéria,177,172,5,África,África,2007
Outros,1934,1834,100,África,África,2007
Costa Rica,1280,1269,11,América Central e Caribe,América,2007
Cuba,0,0,0,América Central e Caribe,América,2007
Guatemala,0,0,0,América Central e Caribe,América,2007
Panamá,1314,1294,20,América Central e Caribe,América,2007
Outros,6964,6215,749,América Central e Caribe,América,2007
Canadá,10121,8798,1323,América do Norte,América,2007
Estados Unidos,160731,151023,9708,América do Norte,América,2007
México,7413,7142,271,América do Norte,América,2007
Argentina,101643,100892,751,América do Sul,América,2007
Bolívia,798,793,5,América do Sul,América,2007
Chile,56147,55947,200,América do Sul,América,2007
Colômbia,4087,4045,42,América do Sul,América,2007
Equador,2054,2046,8,América do Sul,América,2007
Guiana Francesa,47,36,11,América do Sul,América,2007
Paraguai,2427,2413,14,América do Sul,América,2007
Peru,4497,4399,98,América do Sul,América,2007
República da Guiana,0,0,0,América do Sul,América,2007
Suriname,27,27,0,América do Sul,América,2007
Uruguai,3251,2893,358,América do Sul,América,2007
Venezuela,3869,3835,34,América do Sul,América,2007
